,address,description,image_url,pid,place,state,state_code
10,"Hawaii island, HI","Perpetual volcanic activity isn’t exactly a selling point when you talk about living on the big island, unless, of course, you're talking about the dramatic black sand beacheson the southeastern Kau coast.",E:\touristplaces_pics\11.jpg,11,Punaluu Black Sand Beach,Hawaii,HI
11,,"Sure, after finally landing on the actual moon, NASA said the name of this park was totally misleading, but changing all the signs to say “Craters That Look Nothing Like the Moon but are Still Totally Badass National Park” was going too far. So the name remains, as does this 400-square-mile preserve where you can walk on giant basaltic lava fields, hike through caves, and peer into the world’s deepest rift crack.",E:\touristplaces_pics\1.jpg,12,Craters of the Moon National Monument and Preserve,Idaho,ID
12,"Chicago, IL","To keep the stands packed after years upon years upon years upon years of losing baseball takes something special. And the ivy-covered walls and throwback neighborhood-ballpark aesthetics of Wrigley are exactly that, where even long-suffering Cubs fans don’t seem to be suffering all that much when they’re knocking back Goose Islands in the bleachers and enjoying the best example today of baseball’s bygone glory days.",E:\touristplaces_pics\1.jpg,13,Wrigley Field,Illinois,IL
13,"Indianapolis, IN","Kinda like how we only care about soccer once every four years with the World Cup, Americans more or less only notice IndyCar racing on Memorial Day weekend, when the best drivers in the world descend on Indianapolis for the Indy 500.",E:\touristplaces_pics\1.jpg,14,Indianapolis Motor Speedway,Indiana,IN
14,"Dyersville, IA","Whereas most Hollywood movies tend to cop out and use LA as the backdrop for pretty much everything (who knew there were cliffs in Miami Beach!?), FODproducers went authentic and shot this '80s baseball classic on the Lansing family farm in Dyersville. ",E:\touristplaces_pics\1.jpg,15,The Field of Dreams Filming Locale,Iowa,IA
15,,"As you’ve probably used the expression “Get the heck outta Dodge” thousands of times and likely had no idea where it came from, well, here's your answer. In Dodge City, you can step back into an era where middle-of-the-street gunfights were the norm, ",E:\touristplaces_pics\1.jpg,16,"Boot Hill/Dodge City, KS",Kansas,KS
16,,"The thing to remember about doing the Bourbon Trail: DO NOT DO IT ALL IN ONE DAY. That’s 10 distilleries, and even if you designate a driver, you can’t designate a hangover-er, so it’s best to explore Western Kentucky (and the distilleries of Jim Beam, Woodford Reserve, Maker's Mark, Wild Turkey, and more) in shifts, staying at the historic inns in between. ",E:\touristplaces_pics\1.jpg,17,Kentucky Bourbon Trail,Kentucky,KY
17,"New Orleans, LA","Not that Louisiana doesn’t have plenty of other great things to offer, like, uh, Shreveport, but if you say you’re going to this state, people assume you’re going to drink Hand Grenades, listen to jazz, eat the best food in the country, and then make some bad decisions. ",E:\touristplaces_pics\1.jpg,18,Bourbon Street/French Quarter,Louisiana,LA
18,,"The oldest national park east of the Mississippi sits just off the rocky shores of Down East Maine and boasts 47,000 acres of pristine New England beauty. Its main highlight is Cadillac Mountain (named after a French explorer, not the Escalade), which welcomes the sun to America every day as one of the most eastern spots in the country. ",E:\touristplaces_pics\1.jpg,19,Acadia National Park,Maine,ME
19,,"While Baltimore has a pretty cool boardwalk and a nifty retro baseball stadium, you know what it doesn’t have? The US Naval Academy. Or the oldest bar in the state. Or, well, you get it. And since Edgar Allen Poe’s house is in a neighborhood that makes the Tell Tale Heart look like Sweet Valley High, the most unique and non-deadly place you can go in Maryland is historic Annapolis.",E:\touristplaces_pics\1.jpg,20,Annapolis/U.S. Naval Academy,Maryland,MD
20,"Boston,MA","Escape the throngs of loudmouthed Boston sports fans trying to convince you that Brady is innocent by immersing yourself in US history instead, as you walk the 2.5-mile Freedom Trail through the city. While top sites include the Boston Tea Party Museum, Paul Revere’s House, Bunker Hill, and Faneuil Hall, the highlight is America's oldest warship",E:\touristplaces_pics\1.jpg,21,USS Constitution,Massachusetts,MA
21,,"Michigan might be the most underrated state in America when it comes to natural beauty, and nowhere is that more obvious than during a summer trip to this spot smack between the Upper and Lower Peninsulas. The entire island is a national historic landmark and boasts the coolest hotel in the state",E:\touristplaces_pics\1.jpg,22,Mackinac Island,Michigan,MI
22,"Bemidji, MN","With a significant tip of the hat to the Mall of America and the Spam Museum, the most unusual, interesting thing in the Land of 10,000 Lakes doesn’t involve water at all. ",E:\touristplaces_pics\1.jpg,23,Paul Bunyon and Babe the Blue Ox,Minnesota,MN
23,"Vicksburg, MS","While Gettysburg gets all the love from Yankees, perhaps the greatest War-Between-the-States battle site sits in Western Mississippi, where this 47-day siege on Vicksburg and the associated campaign claimed more than 20,000 total casualties and resulted in the Union taking control of the Mississippi River.",E:\touristplaces_pics\1.jpg,24,Vicksburg National Military Park,Mississippi,MS
24,,"Since St. Louis was considered the Gateway to the West, this arch was constructed in the 1960s to give the St. Louis skyline an iconic monument. Today you can take trams all the way to the top of the tallest man-made monument in the Western Hemisphere and enjoy a panoramic view of the city and the Mississippi River.",E:\touristplaces_pics\1.jpg,25,Gateway Arch,Missouri,MO
25,,"Think of Glacier as the anti-Bieber: while both the US and Canada keep trying to stick the other one with the Biebs, they both want to lay claim to this national park whose 16,000 square miles of mountains, rivers, and general untamed spectacular wilderness lie both in the States and north of the border.",E:\touristplaces_pics\1.jpg,26,Glacier National Park,Montana,MT
26,,"As the bluffs on the southern edge of the North Platte River Valley eroded like Nebraska’s football tradition, this 325ft spire made of rock between 23-34 million years old began to tower above the plains. This natural struture served as a landmark for travelers on the Mormon, California, and Oregon Trails and was designated a National Historic Site in 1956. ",E:\touristplaces_pics\1.jpg,27,Chimney Rock,Nebraska,NE
27,"Las Vegas, NV","Without the Strip, what happens in Vegas would stay in Vegas because nobody would really want to hear about it. This 4.2-mile stretch of South Las Vegas Blvd is home to 15 of the 25 largest hotels in the world, two of the best pool parties, every gourmet restaurant you can name, and at least one or two fairly attractive women. And despite not technically being IN the city of Las Vegas, “the Strip” has become America’s symbol of lost inhibitions, limitless parties, and questionable decisions.",E:\touristplaces_pics\1.jpg,28,Las Vegas Strip,Nevada,NV
28,,"The highest point in New England is a lot more than just a tall mountain. It’s a tall mountain with weather so volatile it makes your worst ex look like a bastion of Zen. Not only did its summit hold the Earth's record for fastest wind gust ever recorded (231mph!) for 76 years, but annual temps can fluctuate between a downright pleasant 72 degrees and, well, a staggering -102 degrees with the wind chill.",E:\touristplaces_pics\1.jpg,29,Mount Washington,New Hampshire,NH
29,"Atlantic City, NJ","Aside from being the inspiration for Monopoly and longtime-home to the Miss America Pageant, the boardwalk in AC is what Americans picture when they think about summers on the Jersey Shore. ",E:\touristplaces_pics\1.jpg,30,Atlantic City Boardwalk,New Jersey,NJ
30,,"Hard to believe it, but inland New Mexico was a sea 250 million years ago, full of marine life that created living coral reefs. Which made for spectacular scuba diving then and, after 250 million years of limestone erosion, some pretty badass caves now. ",E:\touristplaces_pics\1.jpg,31,Carlsbad Caverns,New Mexico,NM
31,"New York, NY","No big surprises here, but in a city that’s one, giant tourist attraction, nothing keeps ‘em coming in droves like the big green lady in the middle of New York Harbor. In addition to being our nation’s symbol of freedom and opportunity, it is also the single greatest thing the French ever did that didn’t involve fries or toast. ",E:\touristplaces_pics\1.jpg,32,Statue of Liberty,New York,NY
32,"Asheville, NC","A trip to the mountains outside of Asheville and this historic Vanderbilt family estate will have you forgetting you’re in the same state as the NASCAR Hall of Fame. The 250-room mansion is one of America’s great castles and is completely self-sustaining, an early tribute to the “green” building that also features expansive gardens and its own winery.",E:\touristplaces_pics\1.jpg,33,Biltmore,North Carolina,NC
33,,"At one time, Teddy owned two ranches in the Badlands of North Dakota and would go there to live the “strenuous life” among wild horses, bighorn sheep, golden eagles, and wild turkeys. And when he died, the land and much of its surroundings became this 110-square-mile park where you can hike and camp on the same wilderness that inspired Roosevelt to start America’s conservation movement.",E:\touristplaces_pics\1.jpg,34,Theodore Roosevelt National Park,North Dakota,ND
34,"Sandusky, OH","Though we do love to take jabs at Ohio, it’s hard to hate on Cedar Point, the second-oldest amusement park in America. Very much living up to its nickname, “The Roller Coaster Capital of the World,” CP boasts 16 coasters -- including four that stand over 200ft tall -- and a world-record 72 rides total. It's been drawing visitors to Ohio since 1870, when Anaheim was still orange groves and Orlando was nothing but swampland.",E:\touristplaces_pics\1.jpg,35,Cedar Point,Ohio,OH
35,"Oklahoma City, OK","If playing The Oregon Trail, you got you nostalgic for the Old West but you never wanted to deal with the dysentery, you can get the fully immersive experience in air-conditioned comfort here. ",E:\touristplaces_pics\1.jpg,36,National Cowboy and Western Heritage Museum,Oklahoma,OK
36,,"Though the Beaver State is 48% forest, its only national park is a 286-square-mile swath of land whose main attraction is the deepest lake in the United States. The six-mile-wide body of water is 1,148ft deep and was formed by the collapse of Mount Mazama. In fact, a remaining cone of its cinder makes up Wizard Island in the middle.",E:\touristplaces_pics\1.jpg,37,Crater Lake,Oregon,OR
37,"Gettysburg, PA","And no, do not go around town asking people where the Gettysburg address is. In case you did a complete brain dump after 10th grade history, the Address was a speech Lincoln gave on this historic Civil War battlefield where the war turned in July 1863. Today, you can visit the Soldiers National Cemetery (where many Union soldiers are buried) and follow park rangers as they guide you through the famous battle.",E:\touristplaces_pics\1.jpg,38,Gettysburg National Military Park,Pennsylvania,PA
38,"Newport, RI","Before the advent of air conditioning and cheap land in Florida, the one-percenters of the Gilded Age made their glorious homes on the coast of Rhode Island, set on cliffs against the backdrop of the Atlantic Ocean; mansions like the Vanderbilts’ Breakers, the Marble House, Rosecliff (which was featured in The Great Gatsby), and the ultra-Victorian Chateau-sur-Mer.",E:\touristplaces_pics\1.jpg,39,Newport mansions,Rhode Island,RI
39,,"Conde Nast readers don’t rank your city No. 1 in America four times because they love low-lying marshlands. They do it because they love the historically preserved Downtown, where you can take carriage tours through streets lined with 19th-century southern architecture, enjoy a burgeoning food scene, and soak in more history than in any other city its size.",E:\touristplaces_pics\1.jpg,40,Historic Charleston,South Carolina,SC
40,,"Even though the Lakota Sioux tribe called this mountain “Six Grandfathers,” it only rocks the faces of four dudes -- Abe Lincoln, Teddy Roosevelt, George Washington, and Thomas Jefferson. But those four, 60ft carvings in the side of this granite mountain in South Dakota’s Black Hills don’t need any company as they’re already visited by over two million people a year. Many of whom are weirdly disappointedwhen they arrive.",E:\touristplaces_pics\1.jpg,41,Mount Rushmore,South Dakota,SD
41,"Memphis, TN","If America has had only one king, then Graceland marks both the beginning and the end of our country’s historic castles tour. This longtime home of Elvis Presley is the third-most visited private home in America and a bucket-list destination for any Elvis fan. But unlike the grand interiors of castles in other countries, this spot is filled with leopard print, shag carpeting, and bright red fur.",E:\touristplaces_pics\1.jpg,42,Graceland,Tennessee,TN
42,,"Texas is so big, its tourist attractions are bigger than some states. Seriously, the 800,000-plus acres that make up this park are bigger than Rhode Island. In addition to being an impressively sprawling desert scape, it has also been certified as having the darkest skies in the lower 48, and may be the best place in the country for stargazing.",E:\touristplaces_pics\1.jpg,43,Big Bend National Park,Texas,TX
43,,"While we have to give major props to the Mormons and their construction of Temple Square and the Tabernacle, even they’d tip their hat to whomever created Zion at the intersection of the Colorado Plateau, the Mojave Desert, and Great Basin. Here you can ride into the half-mile-deep Zion Canyon, carved into the red rocks by the north fork of the Virgin River.",E:\touristplaces_pics\1.jpg,44,Zion National Park,Utah,UT
44,"Waterbury, VT","Unlike laws, sausages, and adult films, those who enjoy ice cream should most DEFINITELY watch it being made. The B&J's corporate home/factory gives 30-minute tours and features a scoop room where you can try flavors not available at your grocery store. Kinda like the Wonka factory, sans the creepy chocolate riverboat ride.",E:\touristplaces_pics\1.jpg,45,Ben and Jerry’s Factory,Vermont,VT
45,"Williamsburg, VA","If you ever saw Tony 'n' Tina’s wedding and were like, ""Man, I cannot get enough of this live-actor interaction,"" well, then you probably want to plan your next vacation here. At the Colonial 'Burg, people in 18th-century garb (who get, like, fired for chewing gum) keep it as real as possible so that you can feel like you stepped into America at the time of the Revolution.",E:\touristplaces_pics\1.jpg,46,Colonial Williamsburg,Virginia,VA
46,"Seattle, WA","Even though the original Starbucks is two blocks away, and you’re TOTALLY going to stop in there first and see if it looks like... a Starbucks, this open-air market is like a farmers market on steroids -- and a must-see in Seattle. Originally founded as a place for farmers to conveniently sell produce, it somehow grew into a hotspot where tourists flock and mongers throw fish for fun. It even boasts its own brewery downstairs.",E:\touristplaces_pics\1.jpg,47,Pike Place Market,Washington,WA
47,"Fayetteville, WV","There is a lot of natural beauty in West Virginia. And a lot of couch burning. But neither are quite the spectacle that you’ll see every October 18th at Bridge Day, an annual event to commemorate the opening of the New River Gorge Bridge. More than 100,000 people turn out to watch folks base and bungee jump clean off the Western Hemisphere's longest arch bridge.",E:\touristplaces_pics\1.jpg,48,Bridge Day,West Virginia,WV
48,"Spring Green, WI","Calling this a house on a rock is kinda like calling the Grand Canyon a hole in the desert. This sprawling estate, built by visionary Alex Jordan Jr., is indeed built atop a chimney of rock, but the “house” includes, among other things, the world's largest carousel, battling sea monsters, a full-sized model of the “Streets of Yesteryear,” a sculpture pavilion, and a room that extends 140ft out, unsupported, 15 stories in the air. Oh yeah, and the associated hotel has a 45ft submarine. So, there's that.",E:\touristplaces_pics\1.jpg,49,House on the Rock,Wisconsin,WI
49,,"Not to be confused with the picnic-basket-stealing-bear-infested Jellystone Park, this Wyoming landmark has 2.2 million acres of wilderness including its own Grand Canyon. But perhaps its most famous attraction is Old Faithful, a natural geyser that shoots thousands of gallons of boiling water 100-200ft in the air every 91 minutes.",E:\touristplaces_pics\1.jpg,50,Yellowstone National Park,Wyoming,WY
50,,,,51,,,
51,,,,52,,,
52,,,,53,,,
53,,,,54,,,
