,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state
25,417 S Century Blvd,O7mJ04jvwofUzMtKW1-R9w,Rantoul,40.305551,-88.155305,Action Rents,61866,3,2.5,IL
26,155 YMCA Boulevard,RNm2Qd7hug_95UMLY6wDiw,Markham,43.8517,-79.3143367,Unionville GO Station,L6G 0A1,3,4.0,ON
27,4000 North Drinkwater Blvd,LPq-IOpA_VrZ2xRh1A6Ssw,Scottsdale,33.4941213,-111.9227616,The Saguaro Restaurant,85251,10,3.5,AZ
28,,wrbF8GuuXY5hNj8AeiOulg,Toronto,43.7063972,-79.309937,Culinary Adventure,M4B,11,5.0,ON
29,University Center Ii Lot,P3MxhuaPiI4Kfq1YJMM7LA,Phoenix,33.6087725,-112.1607233,Zipcar,85008,8,3.5,AZ
30,23280 N 43rd Ave,VqKY1LnyzL1RFjdqU8v9VQ,Glendale,33.6962615,-112.1526514,Adobe Western Railroad,85310,3,3.5,AZ
31,5440 E Peak View Rd,bC9NBHWWkUDnPe8zCKZlwQ,Cave Creek,33.7483729,-111.9604359,Windwalker Expeditions,85331,13,4.5,AZ
32,783 College Street,3TI-gEvrp6daa1jV4tRF-A,Toronto,43.654834,-79.4200269,Revival,M6G 1C5,35,3.5,ON
33,5835 S Sossaman Rd,rtTzTba5vNXtAHJYJ-wgRQ,MESA,33.3097917,-111.6692037,Allegiant,85212,220,1.5,AZ
34,"1480 Concord Pkwy N, Ste 295",z_PrJbSpgtK218RYIfqmVA,Concord,35.4403311,-80.6035231,Xtreme Play,28025,3,3.5,NC
35,8745 Tanglewood Trl,8U7Ci7vkcthVB-zOtMJRiA,Chagrin Falls,41.3984554,-81.3311331,The Tanglewood Club,44023,3,4.5,OH
36,3 Park Home Avenue,gXjcL8ZDCpFG1J8pxaxdFA,North York,43.7683918,-79.4143753,Novotel,M2N 6L3,25,2.5,ON
37,"3340 Topaz St, Ste 210",mRjJFIVsR3TIVbwwkujpYw,Las Vegas,36.1289842,-115.1138629,Starpoint Resort Group,89121,17,1.0,NV
38,1637C Amherst Rue,7cemzdOZx3EE6nNP4z31vA,Montréal,45.5187579,-73.5596185,Loggia (La),H2L 3L4,7,4.5,QC
39,Waverley Bridge,9byQk8RGRi8VpAPZl_LeSQ,Edinburgh,55.9526313,-3.1912938,Mac Tours City Tour,EH1 1BQ,4,5.0,EDH
40,,CrhczedetSPk3MN81fmN9Q,Scottsdale,33.468848,-111.910516,Photography by Jake,85257,4,5.0,AZ
41,6500 Place Robert-Joncas,Ga7UBeAUwsohodzynhwYsw,Montreal,45.4930596314,-73.7000028603,Residence Inn by Marriott Montreal Airport,H4M 2Z5,8,4.5,QC
42,7113 Reynolds St,SIJm66InxhHRTcLPB6OwKA,Pittsburgh,40.4469573,-79.9046812,PointBreezeway,15208,12,5.0,PA
43,9 E Wilson,SOhDXouPwa6C5cf-3hcl2Q,Madison,43.0726974,-89.3806495,Hilton Madison,53703,98,3.5,WI
44,6400 S Eastern Ave,34YwmimX2PXqFlm0p18jyA,Las Vegas,36.0731060456,-115.11729151,J & A Flowers And Gifts,89119,10,3.5,NV
45,"1B Chambers Street, Edinburgh Centre South Bridge",935lHZ5uOpWRXGpp2ytCGQ,Edinburgh,55.9485408216,-3.186845265,Hotel Ibis,EH1 1HR,8,3.5,EDH
46,2100 Winnebago St,XXo6JbN_i_WpsXp_C5zPPg,Madison,43.0939689,-89.3545383,Madison Circus Space,53704,3,4.5,WI
47,1401 Airport Rd,pELYR3hDc20IwzzR-ZTcTA,Boulder City,35.9492193384,-114.857865572,Skydive Las Vegas,89005,129,4.5,NV
48,"7875 W Sahara Ave, Ste 101",v0byOL8VL6v6muGa1anxFA,Las Vegas,36.1432041,-115.262866,The Hummus Factory,89117,214,4.5,NV
49,"Excalibur Hotel And Casino, 3850 Las Vegas Blvd S",o7AiTlyWUrBSzdz6oMHj5w,Las Vegas,36.0987324905,-115.174725631,Excalibur Hotel,89109,2504,2.5,NV
50,3111 W Chandler Blvd,uWjB-KjEFQekRpI-91022Q,Chandler,33.3014704,-111.8984059,Kiddie Kandids,85226,3,2.0,AZ
51,16706 Northcross Dr,WtqzJcXEt5lc0hSeJ-bAJg,Huntersville,35.4422202579,-80.8735585213,Bob Evans,28078,24,3.0,NC
52,"Metro Toronto Convention Centre, 222 Bremner Boulevard",6sBEq5wssRJ8du-1YZkZRg,Toronto,43.6429123,-79.3854024,Cashew & Clive,M5V 2T6,5,1.0,ON
53,1655 S Mojave Rd,hFiwhATkS_mrfBB-BqDa2A,Las Vegas,36.153625,-115.106262,Paul's Vegas Photography,89104,12,5.0,NV
54,7 Clifton Terrace,Sssq4txZLCaMRqbFDQ9TvA,Edinburgh,55.9459497273,-3.2180032656,Tune Hotel,EH12 5DR,7,4.0,EDH
55,,zcVZc4SadqLgUHKWL2ZilQ,Las Vegas,36.0809667,-115.2244853,ChefKas Catering,89118,25,4.5,NV
56,6 Hunter Square,zvmplfsPZeJPo-NKEzwq_w,Edinburgh,55.949705,-3.187988,Ibis Hotel,EH1 1QW,14,3.5,EDH
57,221 N Rampart Blvd,z8XIldYr65CKOz8yOI5R8A,Las Vegas,36.1758507535,-115.291116797,JW Marriott Las Vegas Resort & Spa,89145,326,3.5,NV
58,1100 W Bloomington Rd,rNbAIbTn0zN8yNk0IV7dfQ,Champaign,40.135026,-88.263165,The Cake Artist's Studio,61820,32,4.5,IL
59,200 S 3rd St,QRbIBAnX-5LnKZsKrrObUg,Las Vegas,36.168669,-115.144651,Downtown Las Vegas Events Center,89101,32,3.0,NV
60,280 Bloor Street West,hPGdg4LjrW_FH7mwFxFnQw,Toronto,43.6675700027,-79.4008654339,Holiday Inn Toronto Bloor-Yorkville,M5S 1V8,35,3.0,ON
61,7450 Kingston Rd,W_YJsiGTHPExzqDoiDzTvg,Toronto,43.8050234,-79.1394137,Glen Rouge Campground,M1B,6,3.5,ON
62,73 Belford Rd,dvObDGjqEY0jbV4WVCdKaA,Edinburgh,55.9518318176,-3.2241990566,Dean Gallery Shop,EH4 3DS,3,4.5,EDH
63,11 Airport Rd,HGO_cdDG5iGgkxKsKd_Vcw,Champaign,40.0363225,-88.2640396,Hertz Rent A Car,61874,4,1.0,IL
64,13416 N Cave Creek Rd,TqL4BDwjIGFR8D6BpYUGJA,Phoenix,33.6085279,-112.0366456,Classic Delivery & Moving,85022,18,4.0,AZ
65,"100 Bridgeland Avenue, Unit 1",gJzmRmsCQ1149QSc0EhnFA,Toronto,43.726348,-79.4621397,Kidnetix Edu-Play Centre,M6A 2V1,7,2.5,ON
66,516 S 6th St,GcLUrSRAB4EOghqHCfiF5g,Las Vegas,36.1636496,-115.1432704,The Wedding Place,89101,15,4.0,NV
67,201 S Main St,ci8DUyiHEs6tToRNKv2Q-Q,Kannapolis,35.4960586,-80.6247281,Amtrak - Kannapolis Station,28081,3,4.0,NC
68,6408 N Tryon,mR8ig03ARowcVELNEeQXFw,Charlotte,35.2752686,-80.7664162,Carolina Rent A Car,28213,3,3.5,NC
69,7000 E Mayo Blvd,Q9zcPQit3OMWoNRLLK7MQg,Phoenix,33.65563,-111.927745,Chick-fil-A,85054,75,3.5,AZ
70,8434 Mentor Ave,ib0cmmBquUJ0xHcsIRQthQ,Mentor,41.6662419,-81.338769,Best Western Plus Lawnfield Inn & Suites,44060,21,4.5,OH
71,"3940 W Desert Inn Rd, Ste U-103",pCSi-ix3ptfczzD-nzzKTg,Las Vegas,36.1305225,-115.1927057,Adrenaline Rush Slingshot Rentals,89102,19,5.0,NV
72,"115 W Mcdowell Rd, Ste 1",pCrhiOxgTjHLzyIj7R1eAw,Phoenix,33.4655321,-112.0763391,Harold Studio,85003,16,5.0,AZ
73,"2168 E Williams Field Rd, Ste 107",4xdHFC1ExTfwqyUX89biqQ,Gilbert,33.310644,-111.743363,Amy's Hallmark Shop,85295,3,3.5,AZ
74,900 Wigwam Pkwy,jhv0DCeC1drMuH6EiFcg2A,Henderson,36.0356943,-115.024428,One Above Range,89014,6,5.0,NV
75,4126 E Valley Auto Dr,hDz1yo7wR4vxQbz31d3_Cg,Mesa,33.3826956,-111.7445616,AAA Mesa Auto Repair,85206,20,3.5,AZ
76,14111 Rivergate Pkwy,_csgqOCUWhaS4KAwm9Rcag,Charlotte,35.103883,-80.984753,Chick-fil-A,28273,46,2.5,NC
77,6040 N Scottsdale Rd,I9i3z7F0eTOHql3oaVM9oQ,Scottsdale,33.525433664,-111.926516713,Residence Inn Scottsdale Paradise Valley,85253,26,4.0,AZ
78,"450 Matheson Boulevard E, Unit 40",PkkjJA0pK8jBwXw8jRf71w,Mississauga,43.6260789,-79.6562335,Fairytale Land,L4Z 1R5,3,3.5,ON
79,800 Vinial St,bqW0f0RigwpYyz1lbxhHlw,Pittsburgh,40.4571416643,-79.9915010041,Penn Brewery,15212,201,3.5,PA
80,125 Roncesvalles Avenue,hYcfFH96k13nUxfrqC0DvQ,Toronto,43.6427734,-79.4474326,Willem and Jools Flowers,M6R 2K9,3,3.5,ON
81,1140 S Country Club Dr,_9VQUKCkYWHfUTnxbn4O_A,Mesa,33.3937008292,-111.841277964,Tom's BBQ,85210,88,3.5,AZ
82,2021 S Alma School Rd,ScAnSemhCzGU91LI0XDCRg,Chandler,33.276018,-111.85846599999999,Enterprise Rent-A-Car,85286,35,3.0,AZ
83,"9419 E San Salvador Dr, Ste 106 B",rZgFbB0hkTHZ61yc40Or5w,Scottsdale,33.570061,-111.877749,AZ Ride Motorcycle Rentals,85258,11,5.0,AZ
84,131 E John St,ERu5CuuGqt072ZViwbsCsg,Matthews,35.115483,-80.720707,Domenico's Pizza & Pasta To Go,28105,4,4.5,NC
85,,OsLELQOKsAsHwh95sbA5aQ,Las Vegas,36.2030945,-115.2244853,McKenna Artistry,89108,3,4.5,NV
86,Central Ave And Camelback Rd,4etWlZlrrvBbkTEadjBOKQ,Phoenix,33.5092914,-112.0738245,Courtney Sargent Photography,85013,10,4.5,AZ
87,6680 Boulevard Taschereau,xVNdvQQFV7pLfHe6xZ41dQ,Brossard,45.46935,-73.469038,Quality Inn,J4W 1M8,4,3.0,QC
88,"10822 Providence Rd, Ste 300",zLRiLXCQAZNeDxy2VLhcaA,Charlotte,35.0624111,-80.7716169,Amy's Hallmark Shop,28277,3,3.0,NC
89,"9000 S Las Vegas Blvd, Ste 2189",etiXHEc6OYEyUTU3orIz6g,Las Vegas,36.026698,-115.169638,EMC Las Vegas,89123,9,5.0,NV
90,7700 Bathurst Street,OiHjpQPQapnqK2BbLZIgKw,Thornhill,43.8098502,-79.4515446,Diamonds Fine Foods,L4J 7Y3,3,4.0,ON
91,"73 Alness Street, Unit 3",fZtQGuDDuaXW3haN5Aq6fA,North York,43.774425,-79.472183,Mess For Fun,M3J 2H2,3,4.0,ON
92,6111 S All America Way,cSVmQusncacVHsCHObA1Gg,Tempe,33.3675869177,-111.936532259,Kiwanis Recreation Center,85283,43,4.0,AZ
93,925 Rathburn Road E,KeQ1cK564cL5C_hBTFrqnA,Mississauga,43.6160832,-79.6175759,Desi Bar & Grill,L4W 4C3,62,4.0,ON
94,26380 Curtiss Wright Pkwy,Xk05B3MApfGZB-s3vQkuyA,Cleveland,41.5667157,-81.4914188,Cleveland Jet Center,44143,3,3.5,OH
95,"2634 Airport Dr, Ste 103",DzPTtQbiD4x-qJuAVcf49Q,North Las Vegas,36.2078575342,-115.201133884,Elite Flight Training & Management,89032,6,3.5,NV
96,,MIsy_YcwYFie6pkWcdH3Tw,Las Vegas,36.0357492,-115.1533426,IS Photography,89123,3,3.5,NV
97,,5dIhVwHKS6mqA0Xogf0r5g,Chandler,33.3260297,-111.8747445,Painting with Canvas,85224,12,4.0,AZ
98,,JJxSJSIKmnv889TCEaiynA,Las Vegas,36.1148054,-115.2778317,Chic Favors & Invitations,89147,8,5.0,NV
99,515 E Carefree Hwy,muswJ1rvLErdXvFc4HYRqQ,Phoenix,33.7983301,-112.0670205,Amy's Little Plant and Flower,85085,5,4.0,AZ
100,6302 E Camelback Rd,Fd7Meh8HrB1T8A4r8k1QWw,Scottsdale,33.5025159173,-111.945274393,The Running Water Spa,85251,9,4.0,AZ
101,418 Whitewater Way NW,lTidZpUU1ikHfoKctJCanw,Concord,35.372968,-80.6852059,Reflections Photography,28027,3,5.0,NC
102,"3421 E Tropicana Ave, Ste R",_w6ptb6X7YsDiwllNhOMSQ,Las Vegas,36.0993723,-115.0999935,Majestic Eyebrow Threading,89121,102,5.0,NV
103,437A Yonge Street,fAscHigioH6HC4tPIFYVyA,Toronto,43.6609178,-79.3825773,College Currency Investments,M5B 1T3,24,4.0,ON
104,4405 W Phalen Dr,F8SQn1GhHZwfgk088AbuyA,Anthem,33.875997,-112.154384,CMQ Photos,85087,6,5.0,AZ
105,522 E Dunlap Ave,qpGMmQX4AgT12fDdvQLprg,Phoenix,33.5679787,-112.0663763,Open Road Tours,85020,4,3.0,AZ
106,42-44 Cockburn Street,xNU9Gz21prvZ43ZXrXFvfw,Edinburgh,55.9504776001,-3.1890370846,Old Town Context,EH1 1PB,4,5.0,EDH
107,6201 Dean Martin Dr,vKYlrQuSymwOveLh9KxNYA,Las Vegas,36.0765465,-115.1818616,Bazaar Studios & Beauty Parlor,89118,21,5.0,NV
108,"7330 Eastgate Rd, Ste 100",nv2z5SYQR0JlzflUrm00Mw,Henderson,36.054555,-115.019143,Las Vegas Distillery,89011,76,5.0,NV
109,200 N Main St,cISQE8tQ29Q043hmY7LT2g,Las Vegas,36.1743158,-115.145311,California Hotel-Casino & R V Park,89101,3,3.0,NV
110,,4YDzojuwciknAszCLe5qEA,Las Vegas,36.175,-115.136389,The Griffin Mansions,,5,2.0,NV
111,"538 S Gilbert Rd, Ste 105",lah6H9vPStXQ3-TQyRtDbA,Gilbert,33.3403959,-111.7909402,A2Z FLOWERS,85296,17,4.5,AZ
112,"101 Convention Center Dr, Ste 1225",qPGSU1NFePZ2lpwNtMFXmg,Las Vegas,36.1318813,-115.1610651,Infinity Concierge Services,89109,12,3.0,NV
113,2 West Lane,PjzIBRm4pxV_mivCZtmZlw,Whitby,54.4686545,-0.9092471,Duke Of Wellington,YO21 2LY,3,5.0,NYK
114,668 W General Robinson St,lANErA3v8e2VYzMvLzWN7w,Pittsburgh,40.4476669,-80.0095963,Alco Parking - West General Robinson Street Garage,15212,4,4.0,PA
115,760 College St,EOGH9EJyS_VerDZx3lsjTw,Toronto,43.655042,-79.419072,Ivory Parade,M6G 1C4,6,3.5,ON
116,1753 Fairhaven St,Iu_uZRVStxL1GuhDXaEJHA,Las Vegas,36.192719,-115.2082924,J R Pony Parties,89108,15,5.0,NV
117,100 Lakeside Ave E,qGwz_gJIZdRs4vTPcaIg9w,Cleveland,41.5029404472,-81.6957642138,Hilton Cleveland Downtown,44114,61,4.0,OH
118,40 King St W,i_0rSAui4zaz4ydVaOZ6bQ,Toronto,43.6493491,-79.3795277,Marcello's Market & Deli,M5H 1B6,4,3.5,ON
119,597 College Street,k9AaulyfonmUlkmI3uMiQQ,Toronto,43.6551928,-79.4139538,Capitol Trattoria Pizzeria,M6G 1B5,25,2.5,ON
120,101 E University Ave,wYp3Xog0giOX5CFAv1pZtA,Champaign,40.116032,-88.238533,Dallas & Co Costumes & Magic,61820,10,4.5,IL
121,6675 S Gilespie St,shU97uo3R01v0KLlDnPaCA,Las Vegas,36.069073,-115.16474,South Strip Transfer Terminal,89119,24,3.5,NV
122,24741 Country Club Blvd,d6CPd6Rg__Hw-5ArLQ_k4Q,North Olmsted,41.4156227,-81.8958655,Candlewood Suites Cleveland-N. Olmsted,44070,12,3.5,OH
123,"9484 W Lake Mead Blvd, # 1",GdHMZn1gEeVvz5-4u5TTug,Las Vegas,36.206381,-115.303005,Enterprise Rent-A-Car,89134,35,3.5,NV
124,1609 Elizabeth Ave,ObcMSGc1uotvpnwydoStIg,Charlotte,35.213641,-80.826168,Earl's Grocery,28204,152,4.5,NC
125,,DG3u0rKDyakqJjsMjcCsKA,Scottsdale,33.5243639,-111.8985922,Frances Cecilia Photography,85250,3,3.5,AZ
126,171 Rue Saint-Paul O,D6KnuKoGKNHvlw8OIfGmwQ,Montréal,45.503112371,-73.5551566781,Hôtel Épik,H2Y 1Z5,9,4.5,QC
127,"Freight House Shops, 125 W Station Square Dr",OGARoKckCz_DUk6A8aEtzw,Pittsburgh,40.433155,-80.004535,Zen Social Club,15219,9,2.5,PA
128,Mgm Grand,LAnCX5Z6xG40KEpPtpWeEQ,Las Vegas,36.1020655741,-115.170864368,Mgm Grand Skyline Terrace Suite,89109,6,3.0,NV
129,699 Howe Ave,TG6bz3o1vEjVcedBtFQ2yw,Cuyahoga Falls,41.119507,-81.4742246,Boston Market,44221,6,3.0,OH
130,8212 Greenway Blvd,xrHoOaeiZNWshu2xUzT2QQ,Middleton,43.0907257905,-89.5229932666,Fairfield Inn & Suites by Marriott Madison West/Middleton,53562,17,3.5,WI
131,136 E 36th St,RF2ufigv1wgpRFylvhREzA,Charlotte,35.251556,-80.807905,Hart Witzen,28206,6,4.0,NC
132,,1hrX1vHaUgllWH6i876oAw,Phoenix,33.4499672,-112.0702225,Mariachi Estrellas Del Pacífico,85001,4,5.0,AZ
133,1525 Bloor Street W,ukyKtxoBC2E7CWlhp6Eamw,Toronto,43.6569621555,-79.4528862834,Dundas West Station,M6P 1A3,5,3.5,ON
134,730 N Mill Ave,7Ekosm-PP79a9Rrwyc6ehw,Tempe,33.4369709,-111.9439813,Puzzling Adventures,85281,3,5.0,AZ
135,300 Cowgate,yOGBiKBzNHF2MFH3VpMBgA,Edinburgh,55.9489686,-3.1844236,Holiday Inn Express Hotel Edinburgh-Royal Mile,EH1 1NA,5,4.0,EDH
136,6343 E Southern Ave,sRrtKP5PIZsU2pXjFa2yuA,Mesa,33.3917314,-111.6938105,Avis Rent A Car,85206,5,2.5,AZ
137,1860 Remount Rd,J3-aXlcSCkONb_ccRpWE2g,Gastonia,35.2705171,-81.1459207,Fairfield Inn Charlotte Gastonia,28054,16,3.0,NC
138,2640 E Indian School Rd,atL0frtkSbeEV0NaB6y3nw,Phoenix,33.4955588,-112.0241035,Budget Rent A Car,85016,16,3.5,AZ
139,610 Bay St,UKpmaMZU_sKevo9AlaMPkA,Toronto,43.6561507,-79.3842642,Greyhound Bus Lines,M5G 1M5,49,2.0,ON
140,743 Pape Avenue,wXtE0iV1m6OCr-dOCfvF6Q,Toronto,43.6799984089,-79.3447146165,Pape Subway Station,M4K 3T1,8,3.5,ON
141,2-20 College Street,kQGJ5QUJ0BAIpmYYtf7Uqw,Toronto,43.6614505,-79.384068,Upper Deck By Fran's,M5G 1K2,25,3.0,ON
142,444 Yonge Street,X184O0qgC5MKvePbsSe-nA,Toronto,43.6610059,-79.383213,Sushi On the Run,M5B 2H4,19,3.5,ON
143,3700 Boulder Hwy,T7DnoRSnL-tVCR1Xw7nxiQ,Las Vegas,36.138404,-115.094792,Johnnie Walker RV,89121,37,4.0,NV
144,4801 Harrison Dr,8CgT3zwpuoANesnuJCqw2g,Las Vegas,36.1023748,-115.1130757,Matt Cali Photography,89121,9,5.0,NV
145,525 W Lynwood St,iq6qT0F94hmx2toFK6Kqlw,Phoenix,33.464544,-112.0819331,The Felch House,85003,4,4.0,AZ
146,183 Front Street E,YCoLBgh973QSp-OmnwMWSg,Toronto,43.6504571,-79.3674974,Downtown Acura,M5A 1E7,5,2.5,ON
147,3901 N Rancho Dr,kviNaI_LfaR1i1bcr3H_4Q,Las Vegas,36.2283722,-115.2235265,Crystal Palace Skating Centers,89130,70,3.0,NV
148,,_PHPpeC_amcmKCNNZzvmkg,Phoenix,33.4491896785,-112.077202012,George Street Photo & Video,85003,4,4.0,AZ
149,6020 Jefferson Dr,6oZoFYdbvwqyk4gnkzJnqA,Independence,41.3989240195,-81.6500173102,Hampton Inn,44131,18,3.5,OH
150,,MmT-eurMIgyzwaukQ1Lf3Q,Las Vegas,36.1165487,-115.0881146,New Romantix,89121,21,5.0,NV
151,,227GSfD4omYW1qE8ATFs1g,Henderson,35.9208835,-115.1652008,"A Magical Day, Princess Parties & More",89044,7,5.0,NV
152,"4975 S Fort Apache, Ste 101",0zgu-ktM767MGgo8DN20-w,Las Vegas,36.0983226,-115.2991001,Kids Kingdom,89148,54,4.0,NV
153,3799 S Las Vegas Blvd,71aOEuRuypjW4tqmTr4A3g,Las Vegas,36.1033743,-115.1693962,Dollar Rent A Car,89119,8,1.5,NV
154,420 N Ridge Rd W,Z_fMYt6Ujc3A1_JAJEl3MQ,Lorain,41.42662,-82.169599,Off Broadway Floral and Gifts,44053,6,5.0,OH
155,1431 Bryant St,EKeoVnk8s-vPjr-aO5sdZg,Charlotte,35.2275238037,-80.8658828735,Uptown Catering Company,28208,3,5.0,NC
156,"23200 Chagrin Blvd, Ste 4",f7LQwNbiDmcmWQSW54ReTA,Beachwood,41.4644891,-81.5159713,California Salads & Catering,44122,3,2.5,OH
157,10677 N Scottsdale Rd,XnpVU1tVE6L-wOZtTXzLBw,Scottsdale,33.5833226,-111.9259,Amy's Hallmark Shop,85254,3,3.0,AZ
158,10115 S Valley View Blvd,eY-_RreNyZCU3rZ5hwEuhw,Las Vegas,36.005251,-115.190382,United Car Service,89141,23,4.0,NV
159,,qgGgZRAtd-bft9SVpfSTFA,Las Vegas,36.1688429,-115.076436,Creaytive Photo,89110,3,5.0,NV
160,,EsavKbM2kC8A7_2G5LQQwg,Toronto,43.653226,-79.3831843,Safeway Tours,,26,2.5,ON
161,"Chelsea Hotel, 33 Gerrard Street W",RJMblVTTzmEefL8Cge_TrQ,Toronto,43.658428,-79.3831689,T|Bar,M5G 1Z4,10,3.5,ON
162,8031 Arrowridge Blvd,y_9Nu0uJ-VgRbGZf_6g49w,Charlotte,35.134436,-80.908506,Waiter's Choice Catering,28273,6,5.0,NC
163,"10806 N 71st Pl, Ste A",hQVHk7XXF7yYolllQJccLg,Scottsdale,33.584545788,-111.927872077,North Scottsdale Floral,85254,25,5.0,AZ
164,"7191 Yonge Street, Suite 1201",V9THpMJoHCgwuJY1Elj_zw,Markham,43.8033955343,-79.4209720376,Liberty Suites,L3T 0C4,17,3.5,ON
165,,liV3Ka7IdUVvPC92wjUrUw,Phoenix,33.4962205,-111.9641728,Phoenix Wine Parties,85018,3,5.0,AZ
166,969 Coxwell Avenue,kKNauD7d3HOvumRV7JIAfg,Toronto,43.6962242,-79.3288728,Knuckle Sandwich,M4C 3G4,68,4.0,ON
167,4136 Henri Julien,Fa3Orq8j4UoHSiu-ykwOlQ,Montréal,45.5203172,-73.578344,Auberge Chez Jean,H2W 2K3,5,2.5,QC
168,12221 W Bell Rd,5Kz2xbHJ0QZWrO9AD3mdKA,Surprise,33.638616999999996,-112.323357,The Lodge At Sun Ridge,85378,3,4.0,AZ
169,,hPi6bqBfEwOpcchP9NgMPg,Phoenix,33.5669912,-111.8985922,"Hey, Bartender!",85258,22,4.5,AZ
170,375 Lewis Ave,UEuvtQTKNS0w53oJTrwS2Q,Las Vegas,36.1665965,-115.1442241,Sin City Sandwich,89101,48,4.5,NV
171,9705 Leitner Dr,25Qrw76juedI3ClzSEDjhg,Pineville,35.0884921031,-80.8807880018,Four Points by Sheraton Charlotte - Pineville,28134,14,3.5,NC
172,"190 Princes Blvd, CNE Grounds",Lfd6Ogj2uizqma2t4j0H8A,Toronto,43.6327076,-79.4213438,Queen Elizabeth Theatre,M6K 3C3,19,4.0,ON
173,3005 University Ave,tORH_LDga3t1bbuluhuxiQ,Madison,43.074981,-89.4417357,Smoky's Club,53705,70,3.0,WI
174,621 S Tonopah Dr,eNtb45z69XiH9P4ZJ8xWwg,Las Vegas,36.163552,-115.169555,Wolfson Lofts Hotel,89106,3,1.0,NV
